UNIT FILE                                  STATE           VENDOR PRESET
abrt-journal-core.service                  enabled         enabled
abrt-oops.service                          enabled         enabled
abrt-pstoreoops.service                    disabled        disabled
abrt-vmcore.service                        enabled         enabled
abrt-xorg.service                          enabled         enabled
abrtd.service                              enabled         enabled
arp-ethers.service                         disabled        disabled
atd.service                                enabled         enabled
auditd.service                             enabled         enabled
auth-rpcgss-module.service                 static          -
autofs.service                             disabled        disabled
autovt@.service                            alias           -
blk-availability.service                   disabled        disabled
bluetooth.service                          enabled         enabled
canberra-system-bootup.service             disabled        disabled
canberra-system-shutdown-reboot.service    disabled        disabled
canberra-system-shutdown.service           disabled        disabled
certmonger.service                         disabled        disabled
chrony-wait.service                        disabled        disabled
chronyd.service                            enabled         enabled
cni-dhcp.service                           disabled        disabled
cockpit-motd.service                       static          -
cockpit-wsinstance-http-redirect.service   static          -
cockpit-wsinstance-http.service            static          -
cockpit-wsinstance-https-factory@.service  static          -
cockpit-wsinstance-https@.service          static          -
cockpit.service                            static          -
console-getty.service                      disabled        disabled
container-getty@.service                   static          -
dbus-broker.service                        enabled         enabled
dbus-org.bluez.service                     alias           -
dbus-org.fedoraproject.FirewallD1.service  alias           -
dbus-org.freedesktop.home1.service         alias           -
dbus-org.freedesktop.hostname1.service     alias           -
dbus-org.freedesktop.locale1.service       alias           -
dbus-org.freedesktop.login1.service        alias           -
dbus-org.freedesktop.ModemManager1.service alias           -
dbus-org.freedesktop.nm-dispatcher.service alias           -
dbus-org.freedesktop.oom1.service          alias           -
dbus-org.freedesktop.portable1.service     alias           -
dbus-org.freedesktop.resolve1.service      alias           -
dbus-org.freedesktop.timedate1.service     alias           -
dbus.service                               alias           -
debug-shell.service                        disabled        disabled
dm-event.service                           static          -
dnf-makecache.service                      static          -
dnsmasq.service                            disabled        disabled
dracut-cmdline.service                     static          -
dracut-initqueue.service                   static          -
dracut-mount.service                       static          -
dracut-pre-mount.service                   static          -
dracut-pre-pivot.service                   static          -
dracut-pre-trigger.service                 static          -
dracut-pre-udev.service                    static          -
dracut-shutdown.service                    static          -
emergency.service                          static          -
fancontrol.service                         disabled        disabled
firewalld.service                          enabled         enabled
flatpak-add-fedora-repos.service           enabled         enabled
flatpak-system-helper.service              static          -
fprintd.service                            static          -
fstrim.service                             static          -
geoclue.service                            static          -
getty@.service                             enabled         enabled
grub-boot-indeterminate.service            static          -
grub2-systemd-integration.service          static          -
gssproxy.service                           disabled        disabled
import-state.service                       enabled         enabled
initrd-cleanup.service                     static          -
initrd-parse-etc.service                   static          -
initrd-switch-root.service                 static          -
initrd-udevadm-cleanup-db.service          static          -
irqbalance.service                         enabled         enabled
iscsi-init.service                         static          -
iscsi-onboot.service                       enabled         enabled
iscsi-shutdown.service                     static          -
iscsi.service                              enabled         enabled
iscsid.service                             disabled        disabled
iscsiuio.service                           disabled        disabled
kdump.service                              disabled        disabled
kmod-static-nodes.service                  static          -
ldconfig.service                           static          -
lm_sensors.service                         enabled         enabled
loadmodules.service                        disabled        disabled
logrotate.service                          static          -
low-memory-monitor.service                 disabled        disabled
lvm2-lvmpolld.service                      static          -
lvm2-monitor.service                       enabled         enabled
lvm2-pvscan@.service                       static          -
man-db-cache-update.service                static          -
man-db-restart-cache-update.service        disabled        disabled
mcelog.service                             enabled         enabled
mdadm-grow-continue@.service               static          -
mdadm-last-resort@.service                 static          -
mdcheck_continue.service                   static          -
mdcheck_start.service                      static          -
mdmon@.service                             static          -
mdmonitor-oneshot.service                  static          -
mdmonitor.service                          enabled         enabled
mlocate-updatedb.service                   static          -
ModemManager.service                       enabled         enabled
modprobe@.service                          static          -
multipathd.service                         enabled         enabled
NetworkManager-dispatcher.service          enabled         enabled
NetworkManager-wait-online.service         enabled         enabled
NetworkManager.service                     enabled         enabled
nfs-blkmap.service                         disabled        disabled
nfs-convert.service                        enabled         disabled
nfs-idmapd.service                         static          -
nfs-mountd.service                         static          -
nfs-server.service                         disabled        disabled
nfs-utils.service                          static          -
nfsdcld.service                            static          -
nftables.service                           disabled        disabled
nis-domainname.service                     disabled        disabled
nmb.service                                disabled        disabled
oddjobd.service                            disabled        disabled
openhpid.service                           disabled        disabled
packagekit-offline-update.service          static          -
packagekit.service                         static          -
pam_namespace.service                      static          -
pcscd.service                              indirect        disabled
plymouth-halt.service                      static          -
plymouth-kexec.service                     static          -
plymouth-poweroff.service                  static          -
plymouth-quit-wait.service                 static          -
plymouth-quit.service                      static          -
plymouth-read-write.service                static          -
plymouth-reboot.service                    static          -
plymouth-start.service                     static          -
plymouth-switch-root-initramfs.service     static          -
plymouth-switch-root.service               static          -
podman-auto-update.service                 disabled        disabled
podman-restart.service                     disabled        disabled
podman.service                             disabled        disabled
polkit.service                             static          -
psacct.service                             disabled        disabled
qemu-guest-agent.service                   enabled         enabled
quotaon.service                            static          -
raid-check.service                         static          -
rc-local.service                           static          -
rdisc.service                              disabled        disabled
realmd.service                             static          -
reportd.service                            static          -
rescue.service                             static          -
rpc-gssd.service                           static          -
rpc-statd-notify.service                   static          -
rpc-statd.service                          static          -
rpcbind.service                            disabled        disabled
rpmdb-rebuild.service                      enabled         enabled
rsyslog.service                            enabled         enabled
rtkit-daemon.service                       enabled         enabled
selinux-autorelabel-mark.service           enabled         enabled
selinux-autorelabel.service                static          -
selinux-check-proper-disable.service       disabled        disabled
serial-getty@.service                      disabled        disabled
smartd.service                             enabled         enabled
smb.service                                disabled        disabled
sshd-keygen@.service                       disabled        disabled
sshd.service                               enabled         enabled
sshd@.service                              static          -
sssd-autofs.service                        indirect        disabled
sssd-ifp.service                           static          -
sssd-kcm.service                           indirect        disabled
sssd-nss.service                           indirect        disabled
sssd-pac.service                           indirect        disabled
sssd-pam.service                           indirect        disabled
sssd-ssh.service                           indirect        disabled
sssd-sudo.service                          indirect        disabled
sssd.service                               enabled         enabled
system-update-cleanup.service              static          -
systemd-ask-password-console.service       static          -
systemd-ask-password-plymouth.service      static          -
systemd-ask-password-wall.service          static          -
systemd-backlight@.service                 static          -
systemd-binfmt.service                     static          -
systemd-bless-boot.service                 static          -
systemd-boot-check-no-failures.service     disabled        disabled
systemd-boot-system-token.service          static          -
systemd-coredump@.service                  static          -
systemd-exit.service                       static          -
systemd-firstboot.service                  static          -
systemd-fsck-root.service                  static          -
systemd-fsck@.service                      static          -
systemd-halt.service                       static          -
systemd-hibernate-resume@.service          static          -
systemd-hibernate.service                  static          -
systemd-homed-activate.service             enabled         disabled
systemd-homed.service                      enabled         enabled
systemd-hostnamed.service                  static          -
systemd-hwdb-update.service                static          -
systemd-hybrid-sleep.service               static          -
systemd-initctl.service                    static          -
systemd-journal-catalog-update.service     static          -
systemd-journal-flush.service              static          -
systemd-journald.service                   static          -
systemd-journald@.service                  static          -
systemd-kexec.service                      static          -
systemd-localed.service                    static          -
systemd-logind.service                     static          -
systemd-machine-id-commit.service          static          -
systemd-modules-load.service               static          -
systemd-network-generator.service          disabled        disabled
systemd-networkd-wait-online.service       disabled        disabled
